Year,pdensity
2020,419.8
2019,415.67
2018,411.48
2017,407.23
2016,402.92
2015,398.55
2014,394.13
2013,389.64
2012,385.06
2011,380.34
2010,375.47
2009,370.44
2008,365.25
2007,359.94
2006,354.55
2005,349.11
2004,343.64
2003,338.13
2002,332.59
2001,327.02
2000,321.42
1999,315.78
1998,310.13
1997,304.48
1996,298.84
1995,293.23
1994,287.66
1993,282.12
1992,276.62
1991,271.13
1990,265.66
1989,260.2
1988,254.76
1987,249.35
1986,243.96
1985,238.61
1984,233.27
1983,227.98
1982,222.75
1981,217.62
1980,212.62
1979,207.77
1978,203.06
1977,198.47
1976,193.97
1975,189.55
1974,185.2
1973,180.93
1972,176.77
1971,172.75
1970,168.89
1969,165.21
1968,161.69
1967,158.31
1966,155.03
1965,151.84
1964,148.71
1963,145.66
1962,142.7
1961,139.83
1960,137.06